May-31 2:27:51 PM 	  	Sonos 	PlaybarPairingChanged called for Zone = Bedroom with HTSatChanMapSet =
May-31 2:27:51 PM 	  	Sonos 	ZonePairingChanged called for Zone = Bedroom with ChannelMapSet
May-31 2:27:51 PM 	  	Sonos 	DeviceTrigger called for Zone - Bedroom with Trigger = Sonos Player Config Change
May-31 2:27:51 PM 	  	Sonos 	PlayChangeNotifyCallback called for Zone - Bedroom with ChangeType = ConfigChange and Changevalue = ReplicationState and SendDeviceTrigger = True
May-31 2:27:51 PM 	  	Sonos 	CompareReplicationChanges for zoneplayer Bedroom detected change for ShareListUpdateID with Old = 711 and New = 720
May-31 2:27:35 PM 	  	Sonos 	AddNewDiscoveredDevice found Zonename = Bedroom on line.
May-31 2:27:35 PM 	  	Sonos 	HS updated in UpdateHS. HS Code = 3752
May-31 2:27:35 PM 	  	Sonos 	DeviceTrigger called for Zone - Bedroom with Trigger = Sonos Player Stop
May-31 2:27:35 PM 	  	Sonos 	PlayChangeNotifyCallback called for Zone - Bedroom with ChangeType = PlayStatusChanged and Changevalue = Stopped and SendDeviceTrigger = True
May-31 2:27:35 PM 	  	Sonos 	DeviceTrigger called for Zone - Bedroom with Trigger = Sonos Track Change
May-31 2:27:35 PM 	  	Sonos 	PlayChangeNotifyCallback called for Zone - Bedroom with ChangeType = SongChanged and Changevalue = Stopped and SendDeviceTrigger = True
May-31 2:27:35 PM 	  	Sonos 	Bedroom TrackInfo(Source) = Unknown
May-31 2:27:35 PM 	  	Sonos 	Bedroom TrackInfo (CurrentURI) =
May-31 2:27:35 PM 	  	Sonos 	GetcurrentTrackInfo called for zoneplayer - Bedroom
May-31 2:27:35 PM 	  	Sonos 	GetSoftwareVersion called for zoneplayer Bedroom with SW version = 5.4
May-31 2:27:35 PM 	  	Sonos 	IPAddress for zoneplayer = Bedroom = 192.168.1.188
May-31 2:27:35 PM 	  	Sonos 	PlaybarPairingChanged called for Zone = Bedroom with HTSatChanMapSet =
May-31 2:27:35 PM 	  	Sonos 	ZonePairingChanged called for Zone = Bedroom with ChannelMapSet
May-31 2:27:35 PM 	  	Sonos 	DeviceTrigger called for Zone - Bedroom with Trigger = Sonos Player Config Change
May-31 2:27:35 PM 	  	Sonos 	PlayChangeNotifyCallback called for Zone - Bedroom with ChangeType = ConfigChange and Changevalue = ReplicationState and SendDeviceTrigger = True
May-31 2:27:35 PM 	  	Sonos 	CompareReplicationChanges for zoneplayer Bedroom detected change for ShareListUpdateID with Old = 720 and New = 711
May-31 2:27:34 PM 	  	Sonos 	PlaybarPairingChanged called for Zone = Office with HTSatChanMapSet =
May-31 2:27:34 PM 	  	Sonos 	ZonePairingChanged called for Zone = Office with ChannelMapSet RINCON_000E5858C97A01400:LF,LF;RINCON_000E5859008A01400:RF,RF
May-31 2:27:34 PM 	  	Sonos 	DevicePropertiesStateChange: Player: Office was paired and ZoneName changed to Office
May-31 2:27:34 PM 	  	Sonos 	PlaybarPairingChanged called for Zone = Office with HTSatChanMapSet =
May-31 2:27:34 PM 	  	Sonos 	ZonePairingChanged called for Zone = Office with ChannelMapSet RINCON_000E5858C97A01400:LF,LF;RINCON_000E5859008A01400:RF,RF
May-31 2:27:34 PM 	  	Sonos 	DevicePropertiesStateChange: Player: Office was paired and ZoneName changed to Office
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = DailyIndexRefreshTime Value = 02:00:00
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = DateFormat Value = MDY
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = TimeFormat Value = 12H
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = AlarmListVersion Value = RINCON_000E5825227A01400:70
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = TimeGeneration Value = 1
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = TimeServer Value = 0.sonostime.pool.ntp.org,1.sonostime.pool.ntp.org,2.sonostime.pool.ntp.org,3.sonostime.pool.ntp.org
May-31 2:27:34 PM 	  	Sonos 	AlarmClock callback ZonePlayer Bedroom: Var Name = TimeZone Value = 01e00b000102000003000202ffc4
May-31 2:27:34 PM 	  	Sonos 	PlaybarPairingChanged called for Zone = Patio with HTSatChanMapSet =
May-31 2:27:34 PM 	  	Sonos 	ZonePairingChanged called for Zone = Patio with ChannelMapSet
May-31 2:27:34 PM 	  	Sonos 	ZonePairingChanged called for Zone = Master Bedroom with ChannelMapSet
May-31 2:27:34 PM 	  	Sonos 	DeviceTrigger called for Zone - Master Bedroom with Trigger = Sonos Player Config Change
May-31 2:27:34 PM 	  	Sonos 	PlayChangeNotifyCallback called for Zone - Master Bedroom with ChangeType = ConfigChange and Changevalue = ReplicationState and SendDeviceTrigger = True
May-31 2:27:34 PM 	  	Sonos 	CompareReplicationChanges for zoneplayer Master Bedroom detected change for ShareListUpdateID with Old = 711 and New = 720
May-31 2:27:34 PM 	  	Sonos 	GetLoudnessState called for ZonePlayer = Bedroom with values Channel=Master and DeviceStatus =Online
May-31 2:27:34 PM 	  	Sonos 	GetMuteState called. DeviceStatus =Online
May-31 2:27:34 PM 	  	Sonos 	UpdateBalance is setting HS Status for ZoneName - Bedroom with Value = 0 and HSRef = 3767
May-31 2:27:34 PM 	  	Sonos 	GetVolumeLevel called for ZonePlayer = Bedroom with values Channel=RF and DeviceStatus =Online
